"25.10.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   25.10. 18:29 Kartenfolge-Nr.: 2"";25.10.2024;-6",40;EUR;25.10.2024 18:37:06:199
"28.10.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   27.10. 19:25 Kartenfolge-Nr.: 2"";27.10.2024;-6",40;EUR;27.10.2024 19:38:01:958
"29.10.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   29.10. 17:52 Kartenfolge-Nr.: 2"";29.10.2024;-6",40;EUR;29.10.2024 17:58:00:889
"04.11.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   03.11. 19:11 Kartenfolge-Nr.: 2"";03.11.2024;-6",40;EUR;03.11.2024 19:17:01:047
"04.11.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   01.11. 17:50 Kartenfolge-Nr.: 2"";01.11.2024;-6",40;EUR;01.11.2024 17:55:00:679
"05.11.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   05.11. 18:05 Kartenfolge-Nr.: 2"";05.11.2024;-6",40;EUR;05.11.2024 18:22:02:342
"07.11.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   07.11. 17:28 Kartenfolge-Nr.: 2"";07.11.2024;-6",40;EUR;07.11.2024 17:32:06:076
"11.11.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   10.11. 19:10 Kartenfolge-Nr.: 2"";10.11.2024;-6",40;EUR;10.11.2024 19:21:01:741
"11.11.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   09.11. 19:16 Kartenfolge-Nr.: 2"";09.11.2024;-6",40;EUR;09.11.2024 19:23:01:554
"13.11.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   12.11. 20:09 Kartenfolge-Nr.: 2"";12.11.2024;-6",40;EUR;13.11.2024 01:59:22:424
"14.11.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   14.11. 17:18 Kartenfolge-Nr.: 2"";14.11.2024;-6",40;EUR;14.11.2024 17:23:05:237
"18.11.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   17.11. 18:49 Kartenfolge-Nr.: 2"";17.11.2024;-6",40;EUR;17.11.2024 19:02:00:672
"18.11.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   16.11. 19:13 Kartenfolge-Nr.: 2"";16.11.2024;-6",40;EUR;16.11.2024 19:29:01:496
"21.11.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   21.11. 17:14 Kartenfolge-Nr.: 2"";21.11.2024;-6",40;EUR;21.11.2024 17:19:03:678
"22.11.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   22.11. 17:39 Kartenfolge-Nr.: 2"";22.11.2024;-6",40;EUR;22.11.2024 17:51:05:838
"25.11.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   23.11. 18:31 Kartenfolge-Nr.: 2"";23.11.2024;-6",40;EUR;23.11.2024 18:40:02:919
