,date_transaction,payment_reference,date,currency,time,price
17,2024-02-29,"""Zahlungsreferenz: BURGERISTA   2361  K2   28.02. 21:26 Kartenfolge-Nr.: 2""",2024-02-28,EUR,1900-01-01 21:26:00,5.9
18,2024-03-04,"""Zahlungsreferenz: BURGERISTA   2361  K2   03.03. 19:55 Kartenfolge-Nr.: 2""",2024-03-03,EUR,1900-01-01 19:55:00,10.1
19,2024-03-11,"""Zahlungsreferenz: BURGERISTA   2361  K2   10.03. 20:21 Kartenfolge-Nr.: 2""",2024-03-10,EUR,1900-01-01 20:21:00,5.9
20,2024-03-14,"""Zahlungsreferenz: BURGERISTA   2361  K2   14.03. 14:54 Kartenfolge-Nr.: 2""",2024-03-14,EUR,1900-01-01 14:54:00,5.9
21,2024-03-20,"""Zahlungsreferenz: BURGERISTA   2361  K2   20.03. 12:14 Kartenfolge-Nr.: 2""",2024-03-20,EUR,1900-01-01 12:14:00,5.9
22,2024-03-27,"""Zahlungsreferenz: BURGERISTA   2361  K2   26.03. 20:26 Kartenfolge-Nr.: 2""",2024-03-26,EUR,1900-01-01 20:26:00,5.9
23,2024-03-29,"""Zahlungsreferenz: BURGERISTA   2361  K2   28.03. 19:54 Kartenfolge-Nr.: 2""",2024-03-28,EUR,1900-01-01 19:54:00,10.1
24,2024-04-02,"""Zahlungsreferenz: BURGERISTA   2361  K2   02.04. 18:37 Kartenfolge-Nr.: 2""",2024-04-02,EUR,1900-01-01 18:37:00,5.9
25,2024-04-08,"""Zahlungsreferenz: BURGERISTA   2361  K2   07.04. 20:11 Kartenfolge-Nr.: 2""",2024-04-07,EUR,1900-01-01 20:11:00,6.4
26,2024-04-15,"""Zahlungsreferenz: BURGERISTA   2361  K2   12.04. 21:05 Kartenfolge-Nr.: 2""",2024-04-12,EUR,1900-01-01 21:05:00,6.4
27,2024-04-16,"""Zahlungsreferenz: BURGERISTA   2361  K2   16.04. 19:22 Kartenfolge-Nr.: 2""",2024-04-16,EUR,1900-01-01 19:22:00,12.8
28,2024-04-29,"""Zahlungsreferenz: BURGERISTA   2361  K2   28.04. 20:18 Kartenfolge-Nr.: 2""",2024-04-28,EUR,1900-01-01 20:18:00,6.4
29,2024-05-06,"""Zahlungsreferenz: BURGERISTA   2361  K2   05.05. 18:20 Kartenfolge-Nr.: 2""",2024-05-05,EUR,1900-01-01 18:20:00,6.4
30,2024-05-13,"""Zahlungsreferenz: BURGERISTA   2361  K2   12.05. 20:25 Kartenfolge-Nr.: 2""",2024-05-12,EUR,1900-01-01 20:25:00,6.4
31,2024-05-15,"""Zahlungsreferenz: BURGERISTA   2361  K2   14.05. 20:04 Kartenfolge-Nr.: 2""",2024-05-14,EUR,1900-01-01 20:04:00,6.4
32,2024-05-21,"""Zahlungsreferenz: BURGERISTA   2361  K2   20.05. 21:28 Kartenfolge-Nr.: 2""",2024-05-20,EUR,1900-01-01 21:28:00,19.5
33,2024-05-27,"""Zahlungsreferenz: BURGERISTA   2361  K2   26.05. 17:15 Kartenfolge-Nr.: 2""",2024-05-26,EUR,1900-01-01 17:15:00,6.4
34,2024-05-31,"""Zahlungsreferenz: BURGERISTA   2361  K2   30.05. 21:05 Kartenfolge-Nr.: 2""",2024-05-30,EUR,1900-01-01 21:05:00,6.4
35,2024-06-03,"""Zahlungsreferenz: BURGERISTA   2361  K2   03.06. 19:03 Kartenfolge-Nr.: 2""",2024-06-03,EUR,1900-01-01 19:03:00,6.4
36,2024-06-10,"""Zahlungsreferenz: BURGERISTA   2361  K2   09.06. 18:22 Kartenfolge-Nr.: 2""",2024-06-09,EUR,1900-01-01 18:22:00,6.4
37,2024-06-26,"""Zahlungsreferenz: BURGERISTA   2361  K2   26.06. 11:57 Kartenfolge-Nr.: 2""",2024-06-26,EUR,1900-01-01 11:57:00,14.4
38,2024-07-01,"""Zahlungsreferenz: BURGERISTA   2361  K2   30.06. 21:30 Kartenfolge-Nr.: 2""",2024-06-30,EUR,1900-01-01 21:30:00,6.4
39,2024-07-08,"""Zahlungsreferenz: BURGERISTA   2361  K2   08.07. 15:13 Kartenfolge-Nr.: 2""",2024-07-08,EUR,1900-01-01 15:13:00,6.4
40,2024-07-08,"""Zahlungsreferenz: BURGERISTA   2361  K2   07.07. 13:45 Kartenfolge-Nr.: 2""",2024-07-07,EUR,1900-01-01 13:45:00,6.4
41,2024-07-11,"""Zahlungsreferenz: BURGERISTA   2361  K2   10.07. 21:44 Kartenfolge-Nr.: 2""",2024-07-10,EUR,1900-01-01 21:44:00,6.4
42,2024-07-15,"""Zahlungsreferenz: BURGERISTA   2361  K2   14.07. 20:47 Kartenfolge-Nr.: 2""",2024-07-14,EUR,1900-01-01 20:47:00,6.4
43,2024-07-17,"""Zahlungsreferenz: BURGERISTA   2361  K2   17.07. 16:35 Kartenfolge-Nr.: 2""",2024-07-17,EUR,1900-01-01 16:35:00,6.4
44,2024-07-19,"""Zahlungsreferenz: BURGERISTA   2361  K2   18.07. 20:03 Kartenfolge-Nr.: 2""",2024-07-18,EUR,1900-01-01 20:03:00,6.4
45,2024-07-23,"""Zahlungsreferenz: BURGERISTA   2361  K2   22.07. 20:08 Kartenfolge-Nr.: 2""",2024-07-22,EUR,1900-01-01 20:08:00,6.4
46,2024-07-24,"""Zahlungsreferenz: BURGERISTA   2361  K2   23.07. 21:17 Kartenfolge-Nr.: 2""",2024-07-23,EUR,1900-01-01 21:17:00,6.4
47,2024-07-26,"""Zahlungsreferenz: BURGERISTA   2361  K2   25.07. 19:48 Kartenfolge-Nr.: 2""",2024-07-25,EUR,1900-01-01 19:48:00,6.4
48,2024-07-30,"""Zahlungsreferenz: BURGERISTA   2361  K2   29.07. 21:30 Kartenfolge-Nr.: 2""",2024-07-29,EUR,1900-01-01 21:30:00,6.4
49,2024-07-31,"""Zahlungsreferenz: BURGERISTA   2361  K2   30.07. 21:31 Kartenfolge-Nr.: 2""",2024-07-30,EUR,1900-01-01 21:31:00,6.4
50,2024-08-06,"""Zahlungsreferenz: BURGERISTA   2361  K2   06.08. 18:24 Kartenfolge-Nr.: 2""",2024-08-06,EUR,1900-01-01 18:24:00,6.4
51,2024-08-06,"""Zahlungsreferenz: BURGERISTA   2361  K2   05.08. 20:57 Kartenfolge-Nr.: 2""",2024-08-05,EUR,1900-01-01 20:57:00,6.4
52,2024-08-09,"""Zahlungsreferenz: BURGERISTA   2361  K2   08.08. 21:22 Kartenfolge-Nr.: 2""",2024-08-08,EUR,1900-01-01 21:22:00,6.4
53,2024-08-12,"""Zahlungsreferenz: BURGERISTA   2361  K2   12.08. 19:37 Kartenfolge-Nr.: 2""",2024-08-12,EUR,1900-01-01 19:37:00,6.4
54,2024-08-26,"""Zahlungsreferenz: BURGERISTA   2361  K2   25.08. 19:32 Kartenfolge-Nr.: 2""",2024-08-25,EUR,1900-01-01 19:32:00,6.4
55,2024-08-27,"""Zahlungsreferenz: BURGERISTA   2361  K2   26.08. 21:00 Kartenfolge-Nr.: 2""",2024-08-26,EUR,1900-01-01 21:00:00,6.4
56,2024-08-28,"""Zahlungsreferenz: BURGERISTA   2361  K2   27.08. 21:13 Kartenfolge-Nr.: 2""",2024-08-27,EUR,1900-01-01 21:13:00,6.4
57,2024-08-30,"""Zahlungsreferenz: BURGERISTA   2361  K2   29.08. 20:57 Kartenfolge-Nr.: 2""",2024-08-29,EUR,1900-01-01 20:57:00,6.4
58,2024-09-02,"""Zahlungsreferenz: BURGERISTA   2361  K2   02.09. 19:35 Kartenfolge-Nr.: 2""",2024-09-02,EUR,1900-01-01 19:35:00,6.4
59,2024-09-04,"""Zahlungsreferenz: BURGERISTA   2361  K2   03.09. 20:07 Kartenfolge-Nr.: 2""",2024-09-03,EUR,1900-01-01 20:07:00,6.4
60,2024-09-09,"""Zahlungsreferenz: BURGERISTA   2361  K2   06.09. 21:36 Kartenfolge-Nr.: 2""",2024-09-06,EUR,1900-01-01 21:36:00,6.4
61,2024-09-11,"""Zahlungsreferenz: BURGERISTA   2361  K2   10.09. 21:05 Kartenfolge-Nr.: 2""",2024-09-10,EUR,1900-01-01 21:05:00,6.4
62,2024-09-16,"""Zahlungsreferenz: BURGERISTA   2361  K2   15.09. 17:19 Kartenfolge-Nr.: 2""",2024-09-15,EUR,1900-01-01 17:19:00,6.4
63,2024-09-16,"""Zahlungsreferenz: BURGERISTA   2361  K2   13.09. 21:31 Kartenfolge-Nr.: 2""",2024-09-13,EUR,1900-01-01 21:31:00,5.9
64,2024-09-17,"""Zahlungsreferenz: BURGERISTA   2361  K2   16.09. 20:54 Kartenfolge-Nr.: 2""",2024-09-16,EUR,1900-01-01 20:54:00,19.5
65,2024-09-18,"""Zahlungsreferenz: BURGERISTA   2361  K2   17.09. 21:31 Kartenfolge-Nr.: 2""",2024-09-17,EUR,1900-01-01 21:31:00,6.4
66,2024-09-19,"""Zahlungsreferenz: BURGERISTA   2361  K2   18.09. 20:45 Kartenfolge-Nr.: 2""",2024-09-18,EUR,1900-01-01 20:45:00,6.4
67,2024-09-24,"""Zahlungsreferenz: BURGERISTA   2361  K2   24.09. 19:00 Kartenfolge-Nr.: 2""",2024-09-24,EUR,1900-01-01 19:00:00,6.4
68,2024-09-25,"""Zahlungsreferenz: BURGERISTA   2361  K2   25.09. 19:09 Kartenfolge-Nr.: 2""",2024-09-25,EUR,1900-01-01 19:09:00,6.4
69,2024-09-26,"""Zahlungsreferenz: BURGERISTA   2361  K2   26.09. 18:19 Kartenfolge-Nr.: 2""",2024-09-26,EUR,1900-01-01 18:19:00,6.4
70,2024-09-27,"""Zahlungsreferenz: BURGERISTA   2361  K2   27.09. 17:32 Kartenfolge-Nr.: 2""",2024-09-27,EUR,1900-01-01 17:32:00,6.4
71,2024-09-30,"""Zahlungsreferenz: BURGERISTA   2361  K2   30.09. 18:12 Kartenfolge-Nr.: 2""",2024-09-30,EUR,1900-01-01 18:12:00,6.4
72,2024-10-01,"""Zahlungsreferenz: BURGERISTA   2361  K2   01.10. 15:01 Kartenfolge-Nr.: 2""",2024-10-01,EUR,1900-01-01 15:01:00,6.4
73,2024-10-02,"""Zahlungsreferenz: BURGERISTA   2361  K2   02.10. 14:33 Kartenfolge-Nr.: 2""",2024-10-02,EUR,1900-01-01 14:33:00,6.4
74,2024-10-04,"""Zahlungsreferenz: BURGERISTA   2361  K2   03.10. 19:53 Kartenfolge-Nr.: 2""",2024-10-03,EUR,1900-01-01 19:53:00,6.4
75,2024-10-07,"""Zahlungsreferenz: BURGERISTA   2361  K2   06.10. 16:40 Kartenfolge-Nr.: 2""",2024-10-06,EUR,1900-01-01 16:40:00,6.4
76,2024-10-07,"""Zahlungsreferenz: BURGERISTA   2361  K2   05.10. 19:17 Kartenfolge-Nr.: 2""",2024-10-05,EUR,1900-01-01 19:17:00,10.6
77,2024-10-10,"""Zahlungsreferenz: BURGERISTA   2361  K2   09.10. 20:43 Kartenfolge-Nr.: 2""",2024-10-09,EUR,1900-01-01 20:43:00,6.4
78,2024-10-11,"""Zahlungsreferenz: BURGERISTA   2361  K2   10.10. 21:21 Kartenfolge-Nr.: 2""",2024-10-10,EUR,1900-01-01 21:21:00,6.4
79,2024-10-14,"""Zahlungsreferenz: BURGERISTA   2361  K2   13.10. 17:42 Kartenfolge-Nr.: 2""",2024-10-13,EUR,1900-01-01 17:42:00,6.4
80,2024-10-14,"""Zahlungsreferenz: BURGERISTA   2361  K2   12.10. 21:12 Kartenfolge-Nr.: 2""",2024-10-12,EUR,1900-01-01 21:12:00,6.4
81,2024-10-17,"""Zahlungsreferenz: BURGERISTA   2361  K2   17.10. 17:18 Kartenfolge-Nr.: 2""",2024-10-17,EUR,1900-01-01 17:18:00,6.4
82,2024-10-18,"""Zahlungsreferenz: BURGERISTA   2361  K2   18.10. 18:02 Kartenfolge-Nr.: 2""",2024-10-18,EUR,1900-01-01 18:02:00,6.4
83,2024-10-24,"""Zahlungsreferenz: BURGERISTA   2361  K2   24.10. 17:20 Kartenfolge-Nr.: 2""",2024-10-24,EUR,1900-01-01 17:20:00,6.4
84,2024-10-25,"""Zahlungsreferenz: BURGERISTA   2361  K2   25.10. 18:29 Kartenfolge-Nr.: 2""",2024-10-25,EUR,1900-01-01 18:29:00,6.4
85,2024-10-28,"""Zahlungsreferenz: BURGERISTA   2361  K2   27.10. 19:25 Kartenfolge-Nr.: 2""",2024-10-27,EUR,1900-01-01 19:25:00,6.4
86,2024-10-29,"""Zahlungsreferenz: BURGERISTA   2361  K2   29.10. 17:52 Kartenfolge-Nr.: 2""",2024-10-29,EUR,1900-01-01 17:52:00,6.4
87,2024-11-04,"""Zahlungsreferenz: BURGERISTA   2361  K2   03.11. 19:11 Kartenfolge-Nr.: 2""",2024-11-03,EUR,1900-01-01 19:11:00,6.4
88,2024-11-04,"""Zahlungsreferenz: BURGERISTA   2361  K2   01.11. 17:50 Kartenfolge-Nr.: 2""",2024-11-01,EUR,1900-01-01 17:50:00,6.4
89,2024-11-05,"""Zahlungsreferenz: BURGERISTA   2361  K2   05.11. 18:05 Kartenfolge-Nr.: 2""",2024-11-05,EUR,1900-01-01 18:05:00,6.4
90,2024-11-07,"""Zahlungsreferenz: BURGERISTA   2361  K2   07.11. 17:28 Kartenfolge-Nr.: 2""",2024-11-07,EUR,1900-01-01 17:28:00,6.4
91,2024-11-11,"""Zahlungsreferenz: BURGERISTA   2361  K2   10.11. 19:10 Kartenfolge-Nr.: 2""",2024-11-10,EUR,1900-01-01 19:10:00,6.4
92,2024-11-11,"""Zahlungsreferenz: BURGERISTA   2361  K2   09.11. 19:16 Kartenfolge-Nr.: 2""",2024-11-09,EUR,1900-01-01 19:16:00,6.4
93,2024-11-13,"""Zahlungsreferenz: BURGERISTA   2361  K2   12.11. 20:09 Kartenfolge-Nr.: 2""",2024-11-12,EUR,1900-01-01 20:09:00,6.4
94,2024-11-14,"""Zahlungsreferenz: BURGERISTA   2361  K2   14.11. 17:18 Kartenfolge-Nr.: 2""",2024-11-14,EUR,1900-01-01 17:18:00,6.4
95,2024-11-18,"""Zahlungsreferenz: BURGERISTA   2361  K2   17.11. 18:49 Kartenfolge-Nr.: 2""",2024-11-17,EUR,1900-01-01 18:49:00,6.4
96,2024-11-18,"""Zahlungsreferenz: BURGERISTA   2361  K2   16.11. 19:13 Kartenfolge-Nr.: 2""",2024-11-16,EUR,1900-01-01 19:13:00,6.4
97,2024-11-21,"""Zahlungsreferenz: BURGERISTA   2361  K2   21.11. 17:14 Kartenfolge-Nr.: 2""",2024-11-21,EUR,1900-01-01 17:14:00,6.4
